,_id,time,district,wards,price,square
0,60955ab380686f1c9e30fff1,2021-03-30,Phúc Thọ,Tam Hiệp,5111.0,53.8
1,60955ab480686f1c9e30fff2,2021-03-30,Hoàng Mai,Hoàng Văn Thụ,2650.0,30.0
2,60955ab580686f1c9e30fff3,2021-03-30,Thanh Trì,Văn Điển,1584.0,36.0
3,60955ab580686f1c9e30fff4,2021-03-30,Gia Lâm,Trâu Quỳ,1600.0,40.0
4,60955ab680686f1c9e30fff5,2021-03-30,Thường Tín,Quất Động,710.0,75.0
5,60955ab680686f1c9e30fff6,2021-03-30,Long Biên,Giang Biên,6750.0,90.0
6,60955ab780686f1c9e30fff7,2021-03-30,Thanh Trì,Liên Ninh,1650.0,60.0
7,60955ab780686f1c9e30fff8,2021-03-30,Thường Tín,Chương Dương,470.0,50.0
8,60955ab880686f1c9e30fff9,2021-03-30,Gia Lâm,Trâu Quỳ,2450.0,50.0
9,60955ab880686f1c9e30fffa,2021-03-30,Long Biên,Bồ Đề,7600.0,100.0
10,60955ab980686f1c9e30fffb,2021-03-30,Long Biên,Giang Biên,4500.0,50.0
11,60955aba80686f1c9e30fffc,2021-03-30,Long Biên,Giang Biên,4650.0,56.0
12,60955aba80686f1c9e30fffd,2021-03-30,Bắc Từ Liêm,Cổ Nhuế 2,4100.0,47.0
13,60955abb80686f1c9e30fffe,2021-03-30,Hà Đông,Yên Nghĩa,2300.0,32.0
14,60955abb80686f1c9e30ffff,2021-03-30,Thường Tín,Chương Dương,1260.0,180.0
15,60955abc80686f1c9e310000,2021-03-30,Đông Anh,Tiên Dương,3580.0,97.0
16,60955abc80686f1c9e310001,2021-03-30,Thường Tín,Thư Phú,995.0,95.0
17,60955abd80686f1c9e310002,2021-03-30,Sơn Tây,Cổ Đông,1000.0,100.0
18,60955abe80686f1c9e310003,2021-03-30,Thường Tín,Chương Dương,942.0,145.0
19,60955abe80686f1c9e310004,2021-03-30,Thường Tín,Duyên Thái,1480.0,50.0
20,60955abf80686f1c9e310005,2021-03-30,Thường Tín,Duyên Thái,880.0,30.0
21,60955abf80686f1c9e310006,2021-03-30,Thường Tín,Duyên Thái,1000.0,52.0
22,60955ac080686f1c9e310007,2021-03-30,Đông Anh,Xuân Canh,1890.0,45.0
23,60955ac080686f1c9e310008,2021-03-30,Gia Lâm,Trâu Quỳ,3440.0,82.0
24,60955ac180686f1c9e310009,2021-03-30,Nam Từ Liêm,Cầu Diễn,39000.0,780.0
25,60955ac280686f1c9e31000a,2021-03-30,Bắc Từ Liêm,Tây Tựu,4920.0,82.0
26,60955ac280686f1c9e31000b,2021-03-30,Bắc Từ Liêm,Phú Diễn,5600.0,80.0
27,60955ac380686f1c9e31000c,2021-03-30,Gia Lâm,Trâu Quỳ,850.0,30.0
28,60955ac380686f1c9e31000d,2021-03-30,Gia Lâm,Đông Dư,2670.0,50.0
29,60955ac480686f1c9e31000e,2021-03-30,Gia Lâm,Đông Dư,1090.0,42.0
30,60955ac480686f1c9e31000f,2021-03-30,Hoài Đức,Vân Canh,1680.0,42.0
31,60955ac580686f1c9e310010,2021-03-30,Thanh Xuân,Khương Trung,1260.0,180.0
32,60955ac680686f1c9e310011,2021-03-30,Sơn Tây,Cổ Đông,4950.0,416.0
